key,value,date
dataanalysis,0,01/01/13
dataanalysis,0,01/01/14
dataanalysis,1,01/01/15
dataanalysis,1,01/01/16
dataanalysis,0,01/01/17
dataanalysis,0,01/01/18
programmer,0,01/01/11
programmer,0,01/01/12
programmer,0,01/01/13
programmer,0,01/01/14
programmer,0,01/01/15
programmer,2,01/01/16
programmer,0,01/01/17
programmer,0,01/01/18
datakind,0,01/01/11
datakind,2,01/01/12
datakind,0,01/01/13
datakind,0,01/01/14
datakind,0,01/01/15
datakind,0,01/01/16
datakind,0,01/01/17
datakind,0,01/01/18
dataart,0,01/01/11
dataart,2,01/01/12
dataart,23,01/01/13
dataart,33,01/01/14
dataart,50,01/01/15
dataart,36,01/01/16
dataart,11,01/01/17
dataart,0,01/01/18
activism,0,01/01/11
activism,0,01/01/12
activism,0,01/01/13
activism,0,01/01/14
activism,3,01/01/15
activism,2,01/01/16
activism,27,01/01/17
activism,0,01/01/18
fathom,0,01/01/11
fathom,0,01/01/12
fathom,0,01/01/13
fathom,0,01/01/14
fathom,1,01/01/15
fathom,1,01/01/16
fathom,0,01/01/17
fathom,0,01/01/18
activist,0,01/01/11
activist,0,01/01/12
activist,0,01/01/13
activist,0,01/01/14
activist,0,01/01/15
activist,2,01/01/16
activist,0,01/01/17
activist,0,01/01/18
lecture,0,01/01/11
lecture,2,01/01/12
lecture,0,01/01/13
lecture,0,01/01/14
lecture,0,01/01/15
lecture,0,01/01/16
lecture,0,01/01/17
lecture,0,01/01/18
assistivetechnologies,0,01/01/11
assistivetechnologies,0,01/01/12
assistivetechnologies,0,01/01/13
assistivetechnologies,0,01/01/14
assistivetechnologies,2,01/01/15
assistivetechnologies,1,01/01/16
assistivetechnologies,0,01/01/17
assistivetechnologies,0,01/01/18
programming,0,01/01/11
programming,0,01/01/12
programming,0,01/01/13
programming,0,01/01/14
programming,2,01/01/15
programming,0,01/01/16
programming,0,01/01/17
programming,0,01/01/18
accessiblearchitecture,0,01/01/11
accessiblearchitecture,0,01/01/12
accessiblearchitecture,0,01/01/13
accessiblearchitecture,0,01/01/14
accessiblearchitecture,2,01/01/15
accessiblearchitecture,1,01/01/16
accessiblearchitecture,0,01/01/17
accessiblearchitecture,0,01/01/18
parableofthepolygons,0,01/01/11
parableofthepolygons,0,01/01/12
parableofthepolygons,0,01/01/13
parableofthepolygons,0,01/01/14
parableofthepolygons,1,01/01/15
parableofthepolygons,1,01/01/16
parableofthepolygons,0,01/01/17
parableofthepolygons,0,01/01/18
fatlab,1,01/01/11
fatlab,3,01/01/12
fatlab,0,01/01/13
fatlab,0,01/01/14
fatlab,0,01/01/15
fatlab,0,01/01/16
fatlab,0,01/01/17
fatlab,0,01/01/18
privacy,0,01/01/11
privacy,0,01/01/12
privacy,0,01/01/13
privacy,2,01/01/14
privacy,0,01/01/15
privacy,1,01/01/16
privacy,0,01/01/17
privacy,0,01/01/18
codeforamerica,0,01/01/11
codeforamerica,2,01/01/12
codeforamerica,0,01/01/13
codeforamerica,0,01/01/14
codeforamerica,0,01/01/15
codeforamerica,0,01/01/16
codeforamerica,0,01/01/17
codeforamerica,0,01/01/18
sculpture,0,01/01/11
sculpture,0,01/01/12
sculpture,0,01/01/13
sculpture,0,01/01/14
sculpture,1,01/01/15
sculpture,1,01/01/16
sculpture,0,01/01/17
sculpture,0,01/01/18
interactive,0,01/01/11
interactive,0,01/01/12
interactive,0,01/01/13
interactive,0,01/01/14
interactive,2,01/01/15
interactive,1,01/01/16
interactive,0,01/01/17
interactive,0,01/01/18
visualcomplexity,0,01/01/11
visualcomplexity,1,01/01/12
visualcomplexity,0,01/01/13
visualcomplexity,0,01/01/14
visualcomplexity,0,01/01/15
visualcomplexity,0,01/01/16
visualcomplexity,1,01/01/17
visualcomplexity,0,01/01/18
adaptivetechnologies,0,01/01/11
adaptivetechnologies,0,01/01/12
adaptivetechnologies,0,01/01/13
adaptivetechnologies,0,01/01/14
adaptivetechnologies,2,01/01/15
adaptivetechnologies,1,01/01/16
adaptivetechnologies,0,01/01/17
adaptivetechnologies,0,01/01/18
prosthetics,0,01/01/11
prosthetics,0,01/01/12
prosthetics,0,01/01/13
prosthetics,0,01/01/14
prosthetics,2,01/01/15
prosthetics,1,01/01/16
prosthetics,0,01/01/17
prosthetics,0,01/01/18
performance,0,01/01/11
performance,1,01/01/12
performance,0,01/01/13
performance,0,01/01/14
performance,0,01/01/15
performance,1,01/01/16
performance,0,01/01/17
performance,0,01/01/18
publicart,0,01/01/11
publicart,0,01/01/12
publicart,0,01/01/13
publicart,0,01/01/14
publicart,3,01/01/15
publicart,0,01/01/16
publicart,0,01/01/17
publicart,0,01/01/18
emilygobeille,0,01/01/11
emilygobeille,1,01/01/12
emilygobeille,0,01/01/13
emilygobeille,0,01/01/14
emilygobeille,1,01/01/15
emilygobeille,0,01/01/16
emilygobeille,0,01/01/17
emilygobeille,0,01/01/18
machineintelligence,0,01/01/11
machineintelligence,0,01/01/12
machineintelligence,0,01/01/13
machineintelligence,0,01/01/14
machineintelligence,0,01/01/15
machineintelligence,2,01/01/16
machineintelligence,0,01/01/17
machineintelligence,0,01/01/18
designresearcher,0,01/01/11
designresearcher,0,01/01/12
designresearcher,0,01/01/13
designresearcher,0,01/01/14
designresearcher,2,01/01/15
designresearcher,0,01/01/16
designresearcher,0,01/01/17
designresearcher,0,01/01/18
internetart,0,01/01/11
internetart,0,01/01/12
internetart,0,01/01/13
internetart,0,01/01/14
internetart,1,01/01/15
internetart,1,01/01/16
internetart,0,01/01/17
internetart,0,01/01/18
creativecodeprocessing,0,01/01/11
creativecodeprocessing,2,01/01/12
creativecodeprocessing,0,01/01/13
creativecodeprocessing,0,01/01/14
creativecodeprocessing,0,01/01/15
creativecodeprocessing,0,01/01/16
creativecodeprocessing,0,01/01/17
creativecodeprocessing,0,01/01/18
artist,0,01/01/11
artist,0,01/01/12
artist,0,01/01/13
artist,0,01/01/14
artist,4,01/01/15
artist,10,01/01/16
artist,0,01/01/17
artist,0,01/01/18
architecture,0,01/01/11
architecture,0,01/01/12
architecture,1,01/01/13
architecture,0,01/01/14
architecture,3,01/01/15
architecture,0,01/01/16
architecture,0,01/01/17
architecture,0,01/01/18
cowbird,0,01/01/11
cowbird,2,01/01/12
cowbird,0,01/01/13
cowbird,0,01/01/14
cowbird,0,01/01/15
cowbird,0,01/01/16
cowbird,0,01/01/17
cowbird,0,01/01/18
art,0,01/01/11
art,2,01/01/12
art,2,01/01/13
art,0,01/01/14
art,27,01/01/15
art,40,01/01/16
art,38,01/01/17
art,0,01/01/18
abler,0,01/01/11
abler,0,01/01/12
abler,0,01/01/13
abler,0,01/01/14
abler,2,01/01/15
abler,1,01/01/16
abler,0,01/01/17
abler,0,01/01/18
embroidery,0,01/01/11
embroidery,0,01/01/12
embroidery,0,01/01/13
embroidery,0,01/01/14
embroidery,1,01/01/15
embroidery,1,01/01/16
embroidery,0,01/01/17
embroidery,0,01/01/18
humanrights,0,01/01/11
humanrights,0,01/01/12
humanrights,0,01/01/13
humanrights,0,01/01/14
humanrights,1,01/01/15
humanrights,1,01/01/16
humanrights,0,01/01/17
humanrights,0,01/01/18
socialjustice,0,01/01/11
socialjustice,0,01/01/12
socialjustice,2,01/01/13
socialjustice,0,01/01/14
socialjustice,0,01/01/15
socialjustice,0,01/01/16
socialjustice,1,01/01/17
socialjustice,0,01/01/18
neolucida,0,01/01/11
neolucida,0,01/01/12
neolucida,2,01/01/13
neolucida,0,01/01/14
neolucida,0,01/01/15
neolucida,0,01/01/16
neolucida,0,01/01/17
neolucida,0,01/01/18
cinder,1,01/01/11
cinder,2,01/01/12
cinder,0,01/01/13
cinder,1,01/01/14
cinder,1,01/01/15
cinder,0,01/01/16
cinder,0,01/01/17
cinder,0,01/01/18
projectionmapping,0,01/01/11
projectionmapping,0,01/01/12
projectionmapping,0,01/01/13
projectionmapping,3,01/01/14
projectionmapping,0,01/01/15
projectionmapping,0,01/01/16
projectionmapping,1,01/01/17
projectionmapping,0,01/01/18
storytelling,1,01/01/11
storytelling,2,01/01/12
storytelling,0,01/01/13
storytelling,0,01/01/14
storytelling,0,01/01/15
storytelling,0,01/01/16
storytelling,0,01/01/17
storytelling,0,01/01/18
graphics,0,01/01/11
graphics,0,01/01/12
graphics,0,01/01/13
graphics,0,01/01/14
graphics,1,01/01/15
graphics,1,01/01/16
graphics,0,01/01/17
graphics,0,01/01/18
sound,0,01/01/11
sound,0,01/01/12
sound,0,01/01/13
sound,0,01/01/14
sound,1,01/01/15
sound,1,01/01/16
sound,0,01/01/17
sound,0,01/01/18
vr,0,01/01/11
vr,0,01/01/12
vr,0,01/01/13
vr,0,01/01/14
vr,0,01/01/15
vr,1,01/01/16
vr,1,01/01/17
vr,0,01/01/18
technology,0,01/01/11
technology,0,01/01/12
technology,0,01/01/13
technology,0,01/01/14
technology,1,01/01/15
technology,4,01/01/16
technology,38,01/01/17
technology,0,01/01/18
olincollege,0,01/01/11
olincollege,0,01/01/12
olincollege,0,01/01/13
olincollege,0,01/01/14
olincollege,2,01/01/15
olincollege,0,01/01/16
olincollege,0,01/01/17
olincollege,0,01/01/18
drawing,0,01/01/11
drawing,1,01/01/12
drawing,0,01/01/13
drawing,0,01/01/14
drawing,2,01/01/15
drawing,0,01/01/16
drawing,0,01/01/17
drawing,0,01/01/18
feltron,1,01/01/11
feltron,1,01/01/12
feltron,0,01/01/13
feltron,0,01/01/14
feltron,0,01/01/15
feltron,0,01/01/16
feltron,1,01/01/17
feltron,0,01/01/18
art&technology,0,01/01/11
